Ensembl ID,Gene Name,Specificity Type,Specificity Score,0_disc,0_repl,1_disc,1_repl,2_disc,2_repl,3_disc,3_repl
ENSG00000109061,MYH1,Tissue enriched,137.0,3754.0,13889.0,7824.0,13939.0,7677.0,13993.0,7448.0,14191.0
ENSG00000077009,NMRK2,Group enriched,115.0,2519.0,11826.0,1072.0,11918.0,1078.0,11786.0,1086.0,11619.0
ENSG00000101470,TNNC2,Group enriched,109.0,5822.0,10363.0,6965.0,10401.0,6935.0,9731.0,6872.0,9140.0
ENSG00000180209,MYL11,Group enriched,108.0,1472.0,11094.0,1051.0,11142.0,1052.0,10431.0,1068.0,9780.0
ENSG00000163833,FBXO40,Group enriched,96.0,2619.0,9482.0,2596.0,9362.0,2583.0,8821.0,2568.0,8352.0
ENSG00000244025,KRTAP19-3,Group enriched,89.0,5300.0,11233.0,4822.0,11393.0,5320.0,10831.0,5908.0,10311.0
ENSG00000196091,MYBPC1,Group enriched,87.0,8528.0,5101.0,7329.0,4952.0,7199.0,4869.0,7015.0,4911.0
ENSG00000168530,MYL1,Group enriched,87.0,5168.0,3820.0,5933.0,4424.0,5874.0,6010.0,5787.0,7050.0
ENSG00000196296,ATP2A1,Group enriched,85.0,5026.0,4738.0,7421.0,4463.0,7060.0,3633.0,6648.0,3161.0
ENSG00000081248,CACNA1S,Group enriched,85.0,5315.0,5720.0,4106.0,5226.0,4227.0,3663.0,4380.0,2692.0
ENSG00000125414,MYH2,Group enriched,83.0,5005.0,10703.0,8118.0,10651.0,7825.0,10063.0,7418.0,9561.0
ENSG00000177791,MYOZ1,Group enriched,81.0,375.0,7375.0,57.0,7060.0,56.0,5975.0,59.0,5170.0
ENSG00000092054,MYH7,Group enriched,71.0,3163.0,7821.0,3431.0,7478.0,3527.0,5929.0,3623.0,4724.0
ENSG00000111245,MYL2,Group enriched,71.0,847.0,11564.0,551.0,11642.0,575.0,11309.0,603.0,10990.0
ENSG00000163157,TMOD4,Group enriched,68.0,1913.0,9880.0,1159.0,9772.0,1081.0,9690.0,988.0,9601.0
