"seqnames","start","end","width","strand","source","type","score","phase","gene_id","transcript_id","gene_type","gene_name","transcript_type","transcript_name","level","havana_gene","exon_id","tag"
"chr1",69091,70008,918,"+","HAVANA","gene",NA,NA,"ENSG00000186092.4","ENSG00000186092.4","protein_coding","OR4F5","protein_coding","OR4F5","2","OTTHUMG00000001094.2",NA,NA
"chr1",450740,451678,939,"-","HAVANA","gene",NA,NA,"ENSG00000278566.1","ENSG00000278566.1","protein_coding","OR4F29","protein_coding","OR4F29","2","OTTHUMG00000002860.2",NA,"overlapping_locus"
"chr1",685716,686654,939,"-","HAVANA","gene",NA,NA,"ENSG00000273547.1","ENSG00000273547.1","protein_coding","OR4F16","protein_coding","OR4F16","2","OTTHUMG00000002581.2",NA,"overlapping_locus"
"chr1",923928,944203,20276,"+","HAVANA","gene",NA,NA,"ENSG00000187634.11","ENSG00000187634.11","protein_coding","SAMD11","protein_coding","SAMD11","2","OTTHUMG00000040719.10",NA,NA
"chr1",944582,959309,14728,"-","HAVANA","gene",NA,NA,"ENSG00000188976.10","ENSG00000188976.10","protein_coding","NOC2L","protein_coding","NOC2L","2","OTTHUMG00000040720.1",NA,NA
"chr1",960587,965715,5129,"+","HAVANA","gene",NA,NA,"ENSG00000187961.13","ENSG00000187961.13","protein_coding","KLHL17","protein_coding","KLHL17","2","OTTHUMG00000040721.6",NA,NA
"chr1",966497,975108,8612,"+","HAVANA","gene",NA,NA,"ENSG00000187583.10","ENSG00000187583.10","protein_coding","PLEKHN1","protein_coding","PLEKHN1","2","OTTHUMG00000040756.4",NA,NA
"chr1",975204,982093,6890,"-","HAVANA","gene",NA,NA,"ENSG00000187642.9","ENSG00000187642.9","protein_coding","PERM1","protein_coding","PERM1","2","OTTHUMG00000040757.3",NA,NA
"chr1",998962,1000172,1211,"-","HAVANA","gene",NA,NA,"ENSG00000188290.10","ENSG00000188290.10","protein_coding","HES4","protein_coding","HES4","2","OTTHUMG00000040758.2",NA,NA
"chr1",1001138,1014541,13404,"+","HAVANA","gene",NA,NA,"ENSG00000187608.8","ENSG00000187608.8","protein_coding","ISG15","protein_coding","ISG15","2","OTTHUMG00000040777.3",NA,NA
